,NumberOfInstances,NumberOfFeatures,NumberOfMissingValues,PercentageOfMissingValues,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,NumberOfNumericFeatures,NumberOfCategoricalFeatures,RatioNumericalToNominal,RatioNominalToNumerical,DatasetRatio,LogDatasetRatio,InverseDatasetRatio,LogInverseDatasetRatio,NumberOfBinaryFeatures,NumberOfClasses,NumberOfSymbolicFeatures,SkewnessMin,SkewnessMax,SkewnessMean,KurtosisMin,KurtosisMax,KurtosisMean
832,250.0,26.0,0.0,0.0,0.0,0.0,,,25.0,,,,,,,,1.0,2.0,1.0,,,,,,
833,8192.0,33.0,0.0,0.0,0.0,0.0,,,32.0,,,,,,,,1.0,2.0,1.0,,,,,,
834,250.0,101.0,0.0,0.0,0.0,0.0,,,100.0,,,,,,,,1.0,2.0,1.0,,,,,,
835,48.0,5.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,4.0,2.0,5.0,,,,,,
836,34.0,9.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,3.0,2.0,4.0,,,,,,
837,1000.0,51.0,0.0,0.0,0.0,0.0,,,50.0,,,,,,,,1.0,2.0,1.0,,,,,,
838,500.0,26.0,0.0,0.0,0.0,0.0,,,25.0,,,,,,,,1.0,2.0,1.0,,,,,,
839,782.0,9.0,466.0,6.621199204319408,214.0,27.365728900255753,,,6.0,,,,,,,,1.0,2.0,3.0,,,,,,
840,205.0,26.0,57.0,1.0694183864915572,46.0,22.439024390243905,,,17.0,,,,,,,,4.0,2.0,9.0,,,,,,
841,950.0,10.0,0.0,0.0,0.0,0.0,,,9.0,,,,,,,,1.0,2.0,1.0,,,,,,
842,60.0,11.0,14.0,2.1212121212121215,14.0,23.333333333333332,,,4.0,,,,,,,,6.0,2.0,7.0,,,,,,
843,22784.0,9.0,0.0,0.0,0.0,0.0,,,8.0,,,,,,,,1.0,2.0,1.0,,,,,,
844,286.0,10.0,9.0,0.3146853146853147,9.0,3.146853146853147,,,1.0,,,,,,,,5.0,2.0,9.0,,,,,,
845,1000.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,1.0,2.0,1.0,,,,,,
846,16599.0,19.0,0.0,0.0,0.0,0.0,,,18.0,,,,,,,,1.0,2.0,1.0,,,,,,
847,6574.0,15.0,0.0,0.0,0.0,0.0,,,14.0,,,,,,,,1.0,2.0,1.0,,,,,,
848,38.0,6.0,0.0,0.0,0.0,0.0,,,4.0,,,,,,,,2.0,2.0,2.0,,,,,,
849,1000.0,26.0,0.0,0.0,0.0,0.0,,,25.0,,,,,,,,1.0,2.0,1.0,,,,,,
850,100.0,51.0,0.0,0.0,0.0,0.0,,,50.0,,,,,,,,1.0,2.0,1.0,,,,,,
851,240.0,125.0,0.0,0.0,0.0,0.0,,,124.0,,,,,,,,1.0,2.0,1.0,,,,,,
852,159.0,10.0,6.0,0.37735849056603776,6.0,3.7735849056603774,,,4.0,,,,,,,,6.0,2.0,6.0,,,,,,
853,506.0,14.0,0.0,0.0,0.0,0.0,,,12.0,,,,,,,,2.0,2.0,2.0,,,,,,
854,158.0,8.0,87.0,6.882911392405064,87.0,55.06329113924051,,,5.0,,,,,,,,2.0,2.0,3.0,,,,,,
855,500.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,1.0,2.0,1.0,,,,,,
857,40.0,8.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,1.0,2.0,1.0,,,,,,
858,294.0,14.0,782.0,18.999028182701654,293.0,99.65986394557824,,,6.0,,,,,,,,4.0,2.0,8.0,,,,,,
859,74.0,10.0,0.0,0.0,0.0,0.0,,,8.0,,,,,,,,1.0,2.0,2.0,,,,,,
860,380.0,3.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,1.0,2.0,1.0,,,,,,
861,93.0,23.0,14.0,0.6545114539504442,11.0,11.827956989247312,,,16.0,,,,,,,,3.0,2.0,7.0,,,,,,
862,87.0,11.0,0.0,0.0,0.0,0.0,,,8.0,,,,,,,,3.0,2.0,3.0,,,,,,
863,250.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,1.0,2.0,1.0,,,,,,
864,60.0,8.0,0.0,0.0,0.0,0.0,,,6.0,,,,,,,,2.0,2.0,2.0,,,,,,
865,100.0,4.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,2.0,3.0,,,,,,
866,1000.0,51.0,0.0,0.0,0.0,0.0,,,50.0,,,,,,,,1.0,2.0,1.0,,,,,,
867,130.0,3.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,1.0,2.0,3.0,,,,,,
868,100.0,26.0,0.0,0.0,0.0,0.0,,,25.0,,,,,,,,1.0,2.0,1.0,,,,,,
869,500.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,1.0,2.0,1.0,,,,,,
870,500.0,6.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,1.0,2.0,1.0,,,,,,
871,3848.0,6.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,1.0,2.0,1.0,,,,,,
873,250.0,51.0,0.0,0.0,0.0,0.0,,,50.0,,,,,,,,1.0,2.0,1.0,,,,,,
874,50.0,6.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,1.0,2.0,1.0,,,,,,
875,100.0,4.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,2.0,2.0,4.0,,,,,,
876,100.0,51.0,0.0,0.0,0.0,0.0,,,50.0,,,,,,,,1.0,2.0,1.0,,,,,,
877,250.0,51.0,0.0,0.0,0.0,0.0,,,50.0,,,,,,,,1.0,2.0,1.0,,,,,,
878,100.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,1.0,2.0,1.0,,,,,,
879,500.0,26.0,0.0,0.0,0.0,0.0,,,25.0,,,,,,,,1.0,2.0,1.0,,,,,,
880,284.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,1.0,2.0,1.0,,,,,,
881,40768.0,11.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,3.0,2.0,4.0,,,,,,
882,60.0,16.0,0.0,0.0,0.0,0.0,,,15.0,,,,,,,,1.0,2.0,1.0,,,,,,
884,500.0,6.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,1.0,2.0,1.0,,,,,,
885,131.0,4.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,1.0,2.0,1.0,,,,,,
886,500.0,8.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,1.0,2.0,1.0,,,,,,
887,61.0,3.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,2.0,2.0,2.0,,,,,,
888,500.0,51.0,0.0,0.0,0.0,0.0,,,50.0,,,,,,,,1.0,2.0,1.0,,,,,,
889,100.0,26.0,0.0,0.0,0.0,0.0,,,25.0,,,,,,,,1.0,2.0,1.0,,,,,,
890,108.0,8.0,0.0,0.0,0.0,0.0,,,6.0,,,,,,,,2.0,2.0,2.0,,,,,,
891,93.0,7.0,0.0,0.0,0.0,0.0,,,4.0,,,,,,,,2.0,2.0,3.0,,,,,,
892,50.0,8.0,0.0,0.0,0.0,0.0,,,6.0,,,,,,,,1.0,2.0,2.0,,,,,,
893,73.0,6.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,1.0,2.0,1.0,,,,,,
894,66.0,6.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,1.0,2.0,1.0,,,,,,
895,222.0,3.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,1.0,2.0,1.0,,,,,,
896,500.0,26.0,0.0,0.0,0.0,0.0,,,25.0,,,,,,,,1.0,2.0,1.0,,,,,,
897,1161.0,17.0,256.0,1.297056290216345,87.0,7.493540051679587,,,13.0,,,,,,,,1.0,2.0,4.0,,,,,,
898,54.0,8.0,120.0,27.77777777777778,30.0,55.55555555555556,,,7.0,,,,,,,,1.0,2.0,1.0,,,,,,
899,92.0,6.0,26.0,4.710144927536232,17.0,18.478260869565215,,,4.0,,,,,,,,2.0,2.0,2.0,,,,,,
900,400.0,7.0,0.0,0.0,0.0,0.0,,,6.0,,,,,,,,1.0,2.0,1.0,,,,,,
901,40768.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,1.0,2.0,1.0,,,,,,
902,147.0,7.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,5.0,2.0,5.0,,,,,,
903,1000.0,26.0,0.0,0.0,0.0,0.0,,,25.0,,,,,,,,1.0,2.0,1.0,,,,,,
904,1000.0,51.0,0.0,0.0,0.0,0.0,,,50.0,,,,,,,,1.0,2.0,1.0,,,,,,
905,39.0,4.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,1.0,2.0,2.0,,,,,,
906,400.0,8.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,1.0,2.0,1.0,,,,,,
907,400.0,8.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,1.0,2.0,1.0,,,,,,
908,400.0,8.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,1.0,2.0,1.0,,,,,,
909,400.0,8.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,1.0,2.0,1.0,,,,,,
910,1000.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,1.0,2.0,1.0,,,,,,
911,250.0,6.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,1.0,2.0,1.0,,,,,,
912,1000.0,6.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,1.0,2.0,1.0,,,,,,
913,1000.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,1.0,2.0,1.0,,,,,,
914,2001.0,3.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,1.0,2.0,1.0,,,,,,
915,315.0,14.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,2.0,2.0,4.0,,,,,,
916,100.0,6.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,1.0,2.0,1.0,,,,,,
917,1000.0,26.0,0.0,0.0,0.0,0.0,,,25.0,,,,,,,,1.0,2.0,1.0,,,,,,
918,250.0,51.0,0.0,0.0,0.0,0.0,,,50.0,,,,,,,,1.0,2.0,1.0,,,,,,
919,40.0,3.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,1.0,2.0,1.0,,,,,,
920,500.0,51.0,0.0,0.0,0.0,0.0,,,50.0,,,,,,,,1.0,2.0,1.0,,,,,,
921,132.0,4.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,1.0,2.0,2.0,,,,,,
922,100.0,51.0,0.0,0.0,0.0,0.0,,,50.0,,,,,,,,1.0,2.0,1.0,,,,,,
923,8641.0,5.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,2.0,2.0,2.0,,,,,,
924,130.0,4.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,1.0,2.0,2.0,,,,,,
925,323.0,5.0,0.0,0.0,0.0,0.0,,,4.0,,,,,,,,1.0,2.0,1.0,,,,,,
926,500.0,26.0,0.0,0.0,0.0,0.0,,,25.0,,,,,,,,1.0,2.0,1.0,,,,,,
927,42.0,17.0,0.0,0.0,0.0,0.0,,,16.0,,,,,,,,1.0,2.0,1.0,,,,,,
928,46.0,5.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,2.0,2.0,2.0,,,,,,
929,70.0,5.0,0.0,0.0,0.0,0.0,,,4.0,,,,,,,,1.0,2.0,1.0,,,,,,
930,1302.0,35.0,7830.0,17.182356813693218,1144.0,87.86482334869432,,,32.0,,,,,,,,1.0,2.0,3.0,,,,,,
931,662.0,4.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,1.0,2.0,1.0,,,,,,
932,100.0,51.0,0.0,0.0,0.0,0.0,,,50.0,,,,,,,,1.0,2.0,1.0,,,,,,
933,250.0,26.0,0.0,0.0,0.0,0.0,,,25.0,,,,,,,,1.0,2.0,1.0,,,,,,
934,1156.0,6.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,3.0,2.0,5.0,,,,,,
935,250.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,1.0,2.0,1.0,,,,,,
936,500.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,1.0,2.0,1.0,,,,,,
937,500.0,51.0,0.0,0.0,0.0,0.0,,,50.0,,,,,,,,1.0,2.0,1.0,,,,,,
938,42.0,11.0,0.0,0.0,0.0,0.0,,,8.0,,,,,,,,1.0,2.0,3.0,,,,,,
939,228.0,10.0,20.0,0.8771929824561403,5.0,2.1929824561403506,,,9.0,,,,,,,,1.0,2.0,1.0,,,,,,
940,527.0,39.0,560.0,2.7246630662190436,146.0,27.703984819734345,,,21.0,,,,,,,,1.0,2.0,18.0,,,,,,
941,189.0,10.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,5.0,2.0,8.0,,,,,,
942,50.0,5.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,1.0,2.0,3.0,,,,,,
943,500.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,1.0,2.0,1.0,,,,,,
944,130.0,10.0,97.0,7.461538461538461,69.0,53.07692307692308,,,6.0,,,,,,,,4.0,2.0,4.0,,,,,,
945,76.0,7.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,3.0,2.0,4.0,,,,,,
946,88.0,3.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,1.0,2.0,1.0,,,,,,
947,559.0,5.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,1.0,2.0,2.0,,,,,,
949,559.0,5.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,1.0,2.0,2.0,,,,,,
950,559.0,5.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,1.0,2.0,2.0,,,,,,
951,559.0,5.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,1.0,2.0,2.0,,,,,,
952,214.0,10.0,0.0,0.0,0.0,0.0,,,9.0,,,,,,,,0.0,6.0,1.0,,,,,,
953,3190.0,62.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,1.0,2.0,62.0,,,,,,
954,531.0,103.0,0.0,0.0,0.0,0.0,,,100.0,,,,,,,,1.0,2.0,3.0,,,,,,
955,151.0,6.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,3.0,2.0,3.0,,,,,,
956,106.0,59.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,2.0,2.0,59.0,,,,,,
957,412.0,9.0,96.0,2.5889967637540456,49.0,11.893203883495145,,,4.0,,,,,,,,2.0,2.0,5.0,,,,,,
958,2310.0,20.0,0.0,0.0,0.0,0.0,,,19.0,,,,,,,,1.0,2.0,1.0,,,,,,
959,12960.0,9.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,2.0,2.0,9.0,,,,,,
960,90.0,9.0,3.0,0.3703703703703704,3.0,3.3333333333333335,,,0.0,,,,,,,,3.0,2.0,9.0,,,,,,
961,285.0,8.0,27.0,1.1842105263157896,18.0,6.315789473684211,,,3.0,,,,,,,,2.0,2.0,5.0,,,,,,
962,2000.0,7.0,0.0,0.0,0.0,0.0,,,6.0,,,,,,,,1.0,2.0,1.0,,,,,,
963,294.0,14.0,782.0,18.999028182701654,293.0,99.65986394557824,,,6.0,,,,,,,,4.0,2.0,8.0,,,,,,
964,36.0,23.0,0.0,0.0,0.0,0.0,,,21.0,,,,,,,,1.0,2.0,2.0,,,,,,
965,101.0,18.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,16.0,2.0,17.0,,,,,,
966,1340.0,18.0,20.0,0.08291873963515754,20.0,1.4925373134328357,,,15.0,,,,,,,,1.0,2.0,3.0,,,,,,
967,406.0,9.0,14.0,0.38314176245210724,14.0,3.4482758620689653,,,6.0,,,,,,,,1.0,2.0,3.0,,,,,,
968,365.0,4.0,30.0,2.054794520547945,30.0,8.21917808219178,,,1.0,,,,,,,,1.0,2.0,3.0,,,,,,
969,150.0,5.0,0.0,0.0,0.0,0.0,,,4.0,,,,,,,,1.0,2.0,1.0,,,,,,
970,841.0,71.0,0.0,0.0,0.0,0.0,,,70.0,,,,,,,,1.0,2.0,1.0,,,,,,
971,2000.0,77.0,0.0,0.0,0.0,0.0,,,76.0,,,,,,,,1.0,2.0,1.0,,,,,,
972,52.0,25.0,7.0,0.5384615384615384,2.0,3.8461538461538463,,,21.0,,,,,,,,1.0,2.0,4.0,,,,,,
973,178.0,14.0,0.0,0.0,0.0,0.0,,,13.0,,,,,,,,1.0,2.0,1.0,,,,,,
974,132.0,5.0,0.0,0.0,0.0,0.0,,,4.0,,,,,,,,1.0,2.0,1.0,,,,,,
975,205.0,26.0,59.0,1.1069418386491556,46.0,22.439024390243905,,,15.0,,,,,,,,5.0,2.0,11.0,,,,,,
976,9961.0,15.0,0.0,0.0,0.0,0.0,,,14.0,,,,,,,,1.0,2.0,1.0,,,,,,
977,20000.0,17.0,0.0,0.0,0.0,0.0,,,16.0,,,,,,,,1.0,2.0,1.0,,,,,,
978,2000.0,217.0,0.0,0.0,0.0,0.0,,,216.0,,,,,,,,1.0,2.0,1.0,,,,,,
979,5000.0,41.0,0.0,0.0,0.0,0.0,,,40.0,,,,,,,,1.0,2.0,1.0,,,,,,
980,5620.0,65.0,0.0,0.0,0.0,0.0,,,64.0,,,,,,,,1.0,2.0,1.0,,,,,,
981,10108.0,69.0,2699.0,0.3869800359021123,2699.0,26.701622477245746,,,0.0,,,,,,,,49.0,2.0,69.0,,,,,,
982,303.0,14.0,7.0,0.16501650165016502,7.0,2.31023102310231,,,6.0,,,,,,,,4.0,2.0,8.0,,,,,,
983,1473.0,10.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,4.0,2.0,8.0,,,,,,
984,366.0,6.0,1.0,0.04553734061930783,1.0,0.273224043715847,,,3.0,,,,,,,,1.0,2.0,3.0,,,,,,
985,52.0,24.0,39.0,3.125,9.0,17.307692307692307,,,20.0,,,,,,,,1.0,2.0,4.0,,,,,,
986,364.0,33.0,80.0,0.666000666000666,36.0,9.89010989010989,,,0.0,,,,,,,,1.0,2.0,33.0,,,,,,
987,500.0,24.0,0.0,0.0,0.0,0.0,,,20.0,,,,,,,,1.0,2.0,4.0,,,,,,
988,67.0,16.0,0.0,0.0,0.0,0.0,,,14.0,,,,,,,,2.0,2.0,2.0,,,,,,
989,898.0,39.0,22175.0,63.317343384158534,898.0,100.0,,,6.0,,,,,,,,5.0,2.0,33.0,,,,,,
990,736.0,20.0,448.0,3.0434782608695654,95.0,12.907608695652172,,,14.0,,,,,,,,1.0,2.0,6.0,,,,,,
991,1728.0,7.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,1.0,2.0,7.0,,,,,,
992,95.0,10.0,9.0,0.9473684210526316,6.0,6.315789473684211,,,3.0,,,,,,,,2.0,2.0,7.0,,,,,,
993,7019.0,61.0,43814.0,10.233114333693791,7019.0,100.0,,,33.0,,,,,,,,9.0,2.0,28.0,,,,,,
994,846.0,19.0,0.0,0.0,0.0,0.0,,,18.0,,,,,,,,1.0,2.0,1.0,,,,,,
995,2000.0,48.0,0.0,0.0,0.0,0.0,,,47.0,,,,,,,,1.0,2.0,1.0,,,,,,
996,214.0,10.0,0.0,0.0,0.0,0.0,,,9.0,,,,,,,,1.0,2.0,1.0,,,,,,
997,625.0,5.0,0.0,0.0,0.0,0.0,,,4.0,,,,,,,,1.0,2.0,1.0,,,,,,
998,57.0,12.0,1.0,0.14619883040935672,1.0,1.7543859649122806,,,4.0,,,,,,,,2.0,2.0,8.0,,,,,,
999,226.0,70.0,317.0,2.0037926675094817,222.0,98.23008849557522,,,0.0,,,,,,,,62.0,2.0,70.0,,,,,,
1000,3772.0,30.0,6064.0,5.358784022622834,3772.0,100.0,,,7.0,,,,,,,,21.0,2.0,23.0,,,,,,
1001,76.0,46.0,22.0,0.6292906178489702,22.0,28.947368421052634,,,0.0,,,,,,,,16.0,2.0,46.0,,,,,,
1002,7485.0,56.0,32427.0,7.73618665903235,7369.0,98.45023380093521,,,16.0,,,,,,,,9.0,2.0,40.0,,,,,,
1003,339.0,18.0,225.0,3.687315634218289,207.0,61.06194690265486,,,0.0,,,,,,,,15.0,2.0,18.0,,,,,,
1004,600.0,62.0,0.0,0.0,0.0,0.0,,,60.0,,,,,,,,1.0,2.0,2.0,,,,,,
1005,214.0,10.0,0.0,0.0,0.0,0.0,,,9.0,,,,,,,,1.0,2.0,1.0,,,,,,
1006,148.0,19.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,10.0,2.0,16.0,,,,,,
1007,107.0,13.0,71.0,5.104241552839683,37.0,34.57943925233645,,,3.0,,,,,,,,3.0,2.0,10.0,,,,,,
1008,379.0,9.0,1368.0,40.105540897097626,367.0,96.83377308707124,,,0.0,,,,,,,,1.0,2.0,9.0,,,,,,
1009,63.0,32.0,0.0,0.0,0.0,0.0,,,27.0,,,,,,,,1.0,2.0,5.0,,,,,,
1010,366.0,35.0,8.0,0.0624512099921936,8.0,2.185792349726776,,,1.0,,,,,,,,2.0,2.0,34.0,,,,,,
1011,336.0,8.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,1.0,2.0,1.0,,,,,,
1012,194.0,30.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,14.0,2.0,28.0,,,,,,
1013,138.0,3.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,2.0,2.0,,,,,,
1014,797.0,5.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,2.0,2.0,5.0,,,,,,
1015,72.0,4.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,1.0,2.0,1.0,,,,,,
1016,990.0,14.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,3.0,2.0,4.0,,,,,,
1017,452.0,280.0,408.0,0.3223767383059419,384.0,84.95575221238938,,,206.0,,,,,,,,74.0,2.0,74.0,,,,,,
1018,8844.0,57.0,34843.0,6.911812548104772,8844.0,100.0,,,15.0,,,,,,,,10.0,2.0,42.0,,,,,,
1019,10992.0,17.0,0.0,0.0,0.0,0.0,,,16.0,,,,,,,,1.0,2.0,1.0,,,,,,
1020,2000.0,65.0,0.0,0.0,0.0,0.0,,,64.0,,,,,,,,1.0,2.0,1.0,,,,,,
1021,5473.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,1.0,2.0,1.0,,,,,,
1022,2000.0,241.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,1.0,2.0,241.0,,,,,,
1023,683.0,36.0,2337.0,9.504636408003904,121.0,17.71595900439239,,,0.0,,,,,,,,17.0,2.0,36.0,,,,,,
1025,400.0,6.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,3.0,2.0,6.0,,,,,,
1026,155.0,9.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,1.0,2.0,7.0,,,,,,
1027,488.0,5.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,0.0,0.0,0.0,,,,,,
1028,1000.0,11.0,0.0,0.0,0.0,0.0,,,11.0,,,,,,,,0.0,0.0,0.0,,,,,,
1029,1000.0,5.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,0.0,0.0,0.0,,,,,,
1030,1000.0,5.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,0.0,0.0,0.0,,,,,,
1035,488.0,5.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,0.0,0.0,0.0,,,,,,
1037,4562.0,15.0,88.0,0.12859856787958499,88.0,1.9289785181937746,,,6.0,,,,,,,,2.0,2.0,9.0,,,,,,
1038,3468.0,971.0,0.0,0.0,0.0,0.0,,,970.0,,,,,,,,1.0,2.0,1.0,,,,,,
1039,4229.0,1618.0,0.0,0.0,0.0,0.0,,,1617.0,,,,,,,,1.0,2.0,1.0,,,,,,
1040,14395.0,109.0,0.0,0.0,0.0,0.0,,,108.0,,,,,,,,1.0,2.0,1.0,,,,,,
1041,3468.0,785.0,0.0,0.0,0.0,0.0,,,784.0,,,,,,,,0.0,10.0,1.0,,,,,,
1042,3468.0,785.0,0.0,0.0,0.0,0.0,,,784.0,,,,,,,,1.0,2.0,1.0,,,,,,
1044,10936.0,28.0,0.0,0.0,0.0,0.0,,,24.0,,,,,,,,3.0,3.0,4.0,,,,,,
1045,145.0,95.0,0.0,0.0,0.0,0.0,,,94.0,,,,,,,,1.0,2.0,1.0,,,,,,
1046,15545.0,6.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,1.0,2.0,1.0,,,,,,
1047,203.0,17.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,0.0,11.0,14.0,,,,,,
1048,369.0,9.0,0.0,0.0,0.0,0.0,,,8.0,,,,,,,,1.0,2.0,1.0,,,,,,
1049,1458.0,38.0,0.0,0.0,0.0,0.0,,,37.0,,,,,,,,1.0,2.0,1.0,,,,,,
1050,1563.0,38.0,0.0,0.0,0.0,0.0,,,37.0,,,,,,,,1.0,2.0,1.0,,,,,,
1051,60.0,17.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,0.0,0.0,15.0,,,,,,
1053,10885.0,22.0,25.0,0.010439721050653527,5.0,0.045934772622875514,,,21.0,,,,,,,,1.0,2.0,1.0,,,,,,
1054,161.0,40.0,0.0,0.0,0.0,0.0,,,39.0,,,,,,,,1.0,2.0,1.0,,,,,,
1055,89.0,9.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,1.0,2.0,2.0,,,,,,
1056,9466.0,39.0,0.0,0.0,0.0,0.0,,,38.0,,,,,,,,1.0,2.0,1.0,,,,,,
1058,75.0,15.0,0.0,0.0,0.0,0.0,,,15.0,,,,,,,,0.0,0.0,0.0,,,,,,
1059,121.0,30.0,0.0,0.0,0.0,0.0,,,29.0,,,,,,,,1.0,2.0,1.0,,,,,,
1060,63.0,30.0,0.0,0.0,0.0,0.0,,,29.0,,,,,,,,1.0,2.0,1.0,,,,,,
1061,107.0,30.0,0.0,0.0,0.0,0.0,,,29.0,,,,,,,,1.0,2.0,1.0,,,,,,
1062,36.0,30.0,0.0,0.0,0.0,0.0,,,29.0,,,,,,,,1.0,2.0,1.0,,,,,,
1063,522.0,22.0,0.0,0.0,0.0,0.0,,,21.0,,,,,,,,1.0,2.0,1.0,,,,,,
1064,101.0,30.0,0.0,0.0,0.0,0.0,,,29.0,,,,,,,,1.0,2.0,1.0,,,,,,
1065,458.0,40.0,0.0,0.0,0.0,0.0,,,39.0,,,,,,,,1.0,2.0,1.0,,,,,,
1066,145.0,95.0,0.0,0.0,0.0,0.0,,,94.0,,,,,,,,1.0,2.0,1.0,,,,,,
1067,2109.0,22.0,0.0,0.0,0.0,0.0,,,21.0,,,,,,,,1.0,2.0,1.0,,,,,,
1068,1109.0,22.0,0.0,0.0,0.0,0.0,,,21.0,,,,,,,,1.0,2.0,1.0,,,,,,
1069,5589.0,37.0,0.0,0.0,0.0,0.0,,,36.0,,,,,,,,1.0,2.0,1.0,,,,,,
1070,145.0,95.0,0.0,0.0,0.0,0.0,,,95.0,,,,,,,,0.0,0.0,0.0,,,,,,
1071,403.0,38.0,0.0,0.0,0.0,0.0,,,37.0,,,,,,,,1.0,2.0,1.0,,,,,,
1072,31.0,31.0,33.0,3.433922996878252,29.0,93.54838709677419,,,3.0,,,,,,,,1.0,0.0,28.0,,,,,,
1073,274.0,9.0,0.0,0.0,0.0,0.0,,,8.0,,,,,,,,1.0,2.0,1.0,,,,,,
1075,130.0,9.0,0.0,0.0,0.0,0.0,,,8.0,,,,,,,,1.0,2.0,1.0,,,,,,
